iter	Logloss
0	0.601143663
1	0.5271077412
2	0.4641307337
3	0.4140157418
4	0.3683215711
5	0.330286527
6	0.2981510321
7	0.2677376897
8	0.2416343718
9	0.2172403386
10	0.1955163047
11	0.1772791756
12	0.1611417298
13	0.1457331251
14	0.1331119465
15	0.1214966929
16	0.1099787675
17	0.1000922389
18	0.09171740455
19	0.0844779177
20	0.07730630417
21	0.0704599304
22	0.06462938076
23	0.05916787782
24	0.05536954246
25	0.05100763106
26	0.04640644198
27	0.04269154482
28	0.03934233591
29	0.03648665816
30	0.03409696835
31	0.03165198997
32	0.02932544625
33	0.02716368243
34	0.0252489874
